AGS,mun_name,municipality_area_m2,landcover_total_area_m2,landcover_area_ratio_to_municipality,artificial_total_area_m2,has_artificial_land
03352038,Neuenkirchen,19417590.479018368,19417589.07667148,0.9999999277795621,608196.5451977543,TRUE
03352039,"Neuhaus (Oste), Flecken",9850242.16216641,9850241.165733632,0.9999998988417989,599423.7132591485,TRUE
14730270,"Schkeuditz, Stadt",80288517.89139657,80288510.78402351,0.9999999114770923,12390874.530357711,TRUE
03352041,Nordleda,21332475.6639355,21332474.26149068,0.999999934257756,588059.5819511596,TRUE
03359030,Krummendeich,30119374.190375984,30119372.561408125,0.999999945916278,356939.92971415585,TRUE
03352042,Oberndorf,32490031.472253926,32490029.026670713,0.9999999247281981,708795.3495960344,TRUE
03352043,Odisheim,13593532.946004571,13593532.016523149,0.9999999316232634,374103.04246412666,TRUE
03359032,Mittelnkirchen,6946955.462477503,6946954.863314226,0.9999999137516743,558045.1060248549,TRUE
03352044,Osten,47887886.32496057,47887882.95143742,0.9999999295537263,842306.1020959062,TRUE
03359033,Neuenkirchen,8158411.745097326,8158410.907408135,0.9999998973220258,577224.1931153187,TRUE
03352045,Osterbruch,10529560.677544713,10529559.711468171,0.9999999082510115,355607.57225262973,TRUE
03359034,Nottensdorf,6989547.716333651,6989547.332395925,0.9999999450697324,605858.5681804247,TRUE
03352046,"Otterndorf, Stadt",33983459.43569366,33983456.98881631,0.9999999279979912,3659004.8746756767,TRUE
01051024,Eddelak,9430113.660749562,9430112.967360076,0.999999926470718,720173.9165000874,TRUE
03359035,Oederquart,37754544.68789787,37754541.726092875,0.999999921551034,797489.9334613855,TRUE
12065180,Leegebruch,6189141.870169288,6189141.222682013,0.9999998953833523,1939008.4883236764,TRUE
03359038,"Stade, Hansestadt",100089867.20171496,100089859.89234714,0.9999999269719501,18031029.415251076,TRUE
03359039,Steinkirchen,8598347.444381874,8598347.167679135,0.9999999678190791,817419.4904368249,TRUE
14729260,"Markkleeberg, Stadt",31276507.83787981,31276505.002017833,0.9999999093293283,7735015.039020774,TRUE
13071156,"Waren (Müritz), Stadt",149441319.74306363,149441328.82255757,1.0000000607562485,7745261.6637641685,TRUE
13071159,"Wesenberg, Stadt",90027834.1136368,90027826.52275842,0.9999999156829834,2202339.839565239,TRUE
01051034,Friedrichskoog,40956108.532680385,40956105.56437151,0.999999927524636,1889808.5052735042,TRUE
01051016,Burg (Dithmarschen),11383828.076215843,11383827.10973028,0.9999999151001265,1402777.9212563941,TRUE
03352061,Wurster Nordseeküste,22519128.833090708,22519127.03915494,0.9999999203372483,1433060.7612430563,TRUE
03352062,"Geestland, Stadt",173612654.49402496,173612641.06370068,0.9999999226420199,5404271.13085231,TRUE
03352063,Cadenberge,30870525.978667486,30870524.021951325,0.9999999366153929,1842784.943437313,TRUE
01051021,Diekhusen-Fahrstedt,7534255.303305844,7534254.650411501,0.9999999133432148,437280.56898549286,TRUE
01051022,Dingen,6804427.198824078,6804426.654560278,0.999999920013282,348299.58297741576,TRUE
01051046,Helse,11579597.503951008,11579596.600679934,0.9999999219946053,488342.9532612266,TRUE
13071176,Südmüritz,69474792.46354647,69474771.2257597,0.9999996943094608,671808.1150893802,TRUE
01051051,Hochdonn,5466085.790561039,5466085.300790663,0.9999999103983371,603979.8642686001,TRUE
15082301,"Raguhn-Jeßnitz, Stadt",97503375.77500153,97503372.79913938,0.9999999694793937,5442849.6059108,TRUE
12065193,"Liebenwalde, Stadt",138839571.0240909,138839566.78465274,0.9999999694652028,2969987.643022663,TRUE
12065198,Löwenberger Land,245182486.1713247,245182464.42322618,0.9999999112983197,6271010.405980285,TRUE
14626060,Boxberg/O.L. / Hamor,213357255.29762965,213357239.10359156,0.9999999240989575,29276559.088732652,TRUE
