Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension
m_bev_alter,Durchschnittsalter der Bevölkerung,834,1,99.88,2023,2023,Durchschnittsalter der Bevölkerung in Jahren,Bevölkerung,Bevölkerung – Altersstruktur,Demography and household structure
q_HH,Haushaltsgröße,834,1,99.88,2023,2023,Personen je Haushalt,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
q_HH1,Einpersonenhaushalte,834,1,99.88,2023,2023,Anteil der Einpersonenhaushalte an den Haushalten insgesamt in %,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
q_PBG_bev,Personen in Bedarfsgemeinschaften,834,1,99.88,2022,2022,Personen in Bedarfsgemeinschaften je 1.000 Einwohner,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
q_abhg_alt,Abhängigenquote Alte,834,1,99.88,2023,2023,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
q_abhg_jung,Abhängigenquote Junge,834,1,99.88,2023,2023,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur,Demography and household structure
q_allgemeinärzte_bev,Allgemeinärzte,834,1,99.88,2022,2022,Allgemeinärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility"
q_alo_u25_einw,Jüngere Arbeitslose,834,1,99.88,2023,2023,Anteil der Arbeitslosen unter 25 Jahren an Einwohnern von 15 bis unter 25 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
q_alo_u25_einw_f,Weibliche jüngere Arbeitslose,834,1,99.88,2016,2023,Anteil der weiblichen Arbeitslosen unter 25 Jahren an weiblichen Einwohnern von 15 bis unter 25 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
q_alo_u25_einw_m,Männliche jüngere Arbeitslose,834,1,99.88,2023,2023,Anteil der männlichen Arbeitslosen unter 25 Jahren an männlichen Einwohnern von 15 bis unter 25 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
q_alo_ü55_einw,Ältere Arbeitslose,834,1,99.88,2023,2023,Anteil der Arbeitslosen 55 Jahre und älter an Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
q_alo_ü55_einw_f,Weibliche ältere Arbeitslose,834,1,99.88,2023,2023,Anteil der weiblichen Arbeitslosen 55 Jahre und älter an weiblichen Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
q_alo_ü55_einw_m,Männliche ältere Arbeitslose,834,1,99.88,2023,2023,Anteil der männlichen Arbeitslosen 55 Jahre und älter an männlichen Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,Labour market and employment
q_bev_fl,Einwohnerdichte,834,1,99.88,2023,2023,Einwohner je km²,Siedlungsstruktur,(no sub-dimension),Demography and household structure
q_bevsva_qkm,Einwohner-Arbeitsplatz-Dichte,834,1,99.88,2022,2023,Einwohner und Beschäftigte je km²,Siedlungsstruktur,(no sub-dimension),Demography and household structure
q_einkst_bev,Einkommensteuer,834,1,99.88,2023,2023,Einkommensteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
q_einzelhandelskaufkraft,Einzelhandelsrelevante Kaufkraft,834,1,99.88,2023,2023,Einzelhandelsrelevante Kaufkraft je Einwohner in Euro,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers"
q_erhfl_bev,Erholungsfläche je Einwohner,834,1,99.88,2023,2023,Erholungsfläche je Einwohner in m²,Flächennutzung,(no sub-dimension),Housing and land-use context
